water_temp_c,water_absolute_viscosity_poises,water_density_kgm3,water_density_Mg_m3
62.8,4439617.802,980.330416,0.980330416
62.9,4433028.674,980.2674175,0.980267417
63,4426456.028,980.20432,0.98020432
63.1,4419899.811,980.1411235,0.980141123
63.2,4413359.968,980.077828,0.980077828
63.3,4406836.444,980.0144335,0.980014434
63.4,4400329.186,979.95094,0.97995094
63.5,4393838.141,979.8873475,0.979887348
63.6,4387363.255,979.823656,0.979823656
63.7,4380904.474,979.7598655,0.979759865
63.8,4374461.745,979.695976,0.979695976
63.9,4368035.016,979.6319875,0.979631987
64,4361624.235,979.5679,0.9795679
64.1,4355229.348,979.5037135,0.979503713
64.2,4348850.303,979.439428,0.979439428
64.3,4342487.049,979.3750435,0.979375043
64.4,4336139.534,979.31056,0.97931056
64.5,4329807.706,979.2459775,0.979245978
64.6,4323491.514,979.181296,0.979181296
64.7,4317190.907,979.1165155,0.979116515
64.8,4310905.833,979.051636,0.979051636
64.9,4304636.243,978.9866575,0.978986657
65,4298382.085,978.92158,0.97892158
65.1,4292143.309,978.8564035,0.978856403
65.2,4285919.865,978.791128,0.978791128
65.3,4279711.704,978.7257535,0.978725753
65.4,4273518.775,978.66028,0.97866028
65.5,4267341.029,978.5947075,0.978594707
65.6,4261178.417,978.529036,0.978529036
65.7,4255030.889,978.4632655,0.978463266
65.8,4248898.396,978.397396,0.978397396
65.9,4242780.89,978.3314275,0.978331427
66,4236678.323,978.26536,0.97826536
66.1,4230590.646,978.1991935,0.978199194
66.2,4224517.81,978.132928,0.978132928
66.3,4218459.768,978.0665635,0.978066563
66.4,4212416.472,978.0001,0.9780001
66.5,4206387.875,977.9335375,0.977933537
66.6,4200373.928,977.866876,0.977866876
66.7,4194374.585,977.8001155,0.977800115
66.8,4188389.799,977.733256,0.977733256
66.9,4182419.523,977.6662975,0.977666297
67,4176463.711,977.59924,0.97759924
67.1,4170522.315,977.5320835,0.977532083
67.2,4164595.29,977.464828,0.977464828
67.3,4158682.589,977.3974735,0.977397474
67.4,4152784.166,977.33002,0.97733002
67.5,4146899.977,977.2624675,0.977262467
67.6,4141029.974,977.194816,0.977194816
67.7,4135174.114,977.1270655,0.977127066
67.8,4129332.35,977.059216,0.977059216
67.9,4123504.638,976.9912675,0.976991267
68,4117690.932,976.92322,0.97692322
68.1,4111891.189,976.8550735,0.976855073
68.2,4106105.363,976.786828,0.976786828
68.3,4100333.41,976.7184835,0.976718483
68.4,4094575.287,976.65004,0.97665004
68.5,4088830.949,976.5814975,0.976581497
68.6,4083100.352,976.512856,0.976512856
68.7,4077383.453,976.4441155,0.976444116
68.8,4071680.208,976.375276,0.976375276
68.9,4065990.574,976.3063375,0.976306338
69,4060314.508,976.2373,0.9762373
69.1,4054651.966,976.1681635,0.976168163
69.2,4049002.907,976.098928,0.976098928
69.3,4043367.288,976.0295935,0.976029594
69.4,4037745.065,975.96016,0.97596016
69.5,4032136.197,975.8906275,0.975890627
